a52dec 0.7.4-9
kdeclarative 5.47.0-1
kdecoration 5.13.2-1
kded 5.47.0-1
kdelibs4support 5.47.0-1
kdesu 5.47.0-1
kdnssd 5.47.0-1
kemoticons 5.47.0-1
keyutils 1.5.10-2
kfilemetadata 5.47.0-1
kglobalaccel 5.47.0-1
kguiaddons 5.47.0-1
kholidays 1:5.47.0-1
khotkeys 5.13.2-1
ki18n 5.47.0-1
kiconthemes 5.47.0-1
kidletime 5.47.0-1
kinit 5.47.0-1
kio 5.47.0-1
kio-extras 18.04.2-1
kirigami2 5.47.0-2
kitemmodels 5.47.0-1
kitemviews 5.47.0-1
kitty 0.11.1-1
kjobwidgets 5.47.0-1
kjs 5.47.0-1
kjsembed 5.47.0-1
kmenuedit 5.13.2-1
kmod 25-1
knetattach 5.13.2-1
knewstuff 5.47.0-1
knotifications 5.47.0-1
knotifyconfig 5.47.0-1
kpackage 5.47.0-1
kparts 5.47.0-1
kpeople 5.47.0-1
kpty 5.47.0-1
krb5 1.16.1-1
krita 4.1.0-1
krunner 5.47.0-1
kscreen 5.13.2-1
kscreenlocker 5.13.2-1
kservice 5.47.0-1
ksysguard 5.13.2-1
ktexteditor 5.47.0-2
ktextwidgets 5.47.0-1
kunitconversion 5.47.0-1
kwallet 5.47.0-1
kwayland 5.47.0-1
kwidgetsaddons 5.47.0-1
kwin 5.13.2-1
kwindowsystem 5.47.0-1
kxmlgui 5.47.0-1
lame 3.100-2
lcms2 2.9-1
ldb 1.4.0-1
ldns 1.7.0-4
less 530-1
lib32-bzip2 1.0.6-3
lib32-expat 2.2.5-1
lib32-gcc-libs 8.1.1+20180531-1
lib32-glibc 2.27-3
lib32-icu 61.1-1
lib32-libdrm 2.4.92-1
lib32-libelf 0.171-1
lib32-libffi 3.2.1-2
lib32-libglvnd 1.0.0-1
lib32-libpciaccess 0.14-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.13-1
lib32-libxdamage 1.1.4-3
lib32-libxdmcp 1.1.2-2
lib32-libxext 1.3.3-2
lib32-libxfixes 5.0.3-1
lib32-libxml2 2.9.8-2
lib32-libxshmfence 1.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 6.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 18.1.3-1
lib32-ncurses 6.1-1
lib32-readline 7.0.003-1
lib32-wayland 1.15.0-1
lib32-zlib 1.2.11-1
libabw 0.1.2-1
libaccounts-glib 1.23-2
libaccounts-qt 1.15-1
libaio 0.3.111-1
libarchive 3.3.2-2
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-4
libatomic_ops 7.6.4-1
libavc1394 0.5.4-3
libblockdev 2.18-1
libbluray 1.0.2-1
libbsd 0.9.1-1
libbytesize 1.3-1
libc++ 6.0.0-1
libc++abi 6.0.0-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-3
libcmis 0.5.1-9
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.8-3
libcurl-compat 7.60.0-1
libcurl-gnutls 7.60.0-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdca 0.0.6-1
libdmtx 0.7.4-6
libdmx 1.1.4-1
libdrm 2.4.92-1
libdvbpsi 1:1.3.2-1
libe-book 0.1.3-2
libebml 1.3.6-1
libedit 20180525_3.1-1
libelf 0.171-1
libepoxy 1.5.2-1
libepubgen 0.1.1-1
libetonyek 0.1.8-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libffi 3.2.1-2
libfontenc 1.1.3-2
libfreehand 0.1.2-1
libgcrypt 1.8.3-1
libgit2 1:0.27.0-1
libglvnd 1.0.0-1
libgnome-keyring 3.12.0-3
libgpg-error 1.31-1
libgudev 232-1
libgusb 0.3.0-1
libibus 1.5.18-1
libical 3.0.3-2
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.34-2
libidn2 2.0.5-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+66+g5a85432-1
libinput 1.11.1-2
libixion 0.13.0-2
libjpeg-turbo 1.5.3-1
libkate 0.4.1-6
libkexiv2 18.04.2-1
libksba 1.3.5-1
libkscreen 5.13.2-1
libksysguard 5.13.2-1
liblangtag 0.6.2-1
libldap 2.4.46-1
libmad 0.15.1b-8
libmatroska 1.4.9-1
libmbim 1.16.0-1
libmm-glib 1.8.0-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-6
libmspub 0.1.4-2
libmtp 1.1.15-1
libmwaw 0.3.14-1
libndp 1.6-1
libnewt 0.52.20-1
libnftnl 1.1.0-1
libnghttp2 1.32.0-1
libnl 3.4.0-1
libnm 1.10.10-1
libnm-glib 1.10.10-1
libnotify 0.7.7-1
libnsl 1.2.0-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.13.4-2
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libplacebo 0.5.0-1
libplist 2.0.0+11+gec9ba8b-1
libpng 1.6.34-2
libproxy 0.4.15-6
libpsl 0.20.2-1
libpulse 12.0-1
libqalculate 2.6.0.b-1
libqmi 1.20.0-1
libqxp 0.0.1-2
libraw 0.18.13-1
